"","NOC","Medal","Year","Sport","Event","City"
"5447","USA","Gold",1992,"Tennis","Tennis Women's Doubles","Barcelona"
"5448","USA","Gold",1996,"Tennis","Tennis Women's Doubles","Atlanta"
"5449","ESP","Bronze",1996,"Judo","Judo Women's Lightweight","Atlanta"
"5450","ESP","Gold",2000,"Judo","Judo Women's Lightweight","Sydney"
"5451","USA","Bronze",1992,"Tennis","Tennis Women's Singles","Barcelona"
"5452","ESP","Gold",2004,"Sailing","Sailing Mixed Skiff","Athina"
"5453","ESP","Silver",2008,"Sailing","Sailing Mixed Skiff","Beijing"
"5454","RSA","Gold",2004,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Athina"
"5455","ITA","Bronze",1976,"Archery","Archery Men's Individual","Montreal"
"5456","ITA","Bronze",1980,"Archery","Archery Men's Individual","Moskva"
"5457","FRA","Gold",2000,"Fencing","Fencing Men's Foil, Team","Sydney"
"5458","ITA","Bronze",1976,"Shooting","Shooting Mixed Rapid-Fire Pistol, 25 metres","Montreal"
"5459","ITA","Gold",1992,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Barcelona"
"5460","ITA","Bronze",2000,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Sydney"
"5461","BRA","Gold",1996,"Sailing","Sailing Mixed Two Person Keelboat","Atlanta"
"5462","BRA","Bronze",2000,"Sailing","Sailing Mixed Two Person Keelboat","Sydney"
"5463","BRA","Gold",2004,"Sailing","Sailing Men's Two Person Keelboat","Athina"
"5464","RSA","Silver",1992,"Tennis","Tennis Men's Doubles","Barcelona"
"5465","USA","Silver",1968,"Athletics","Athletics Women's 100 metres","Mexico City"
"5466","CUB","Silver",1980,"Judo","Judo Men's Half-Middleweight","Moskva"
"5467","ESP","Bronze",2004,"Equestrianism","Equestrianism Mixed Dressage, Individual","Athina"
"5468","ESP","Silver",2004,"Equestrianism","Equestrianism Mixed Dressage, Team","Athina"
"5469","USA","Bronze",1968,"Swimming","Swimming Men's 200 metres Butterfly","Mexico City"
"5470","USA","Bronze",1968,"Swimming","Swimming Men's 200 metres Individual Medley","Mexico City"
"5471","GBR","Bronze",1960,"Diving","Diving Women's Springboard","Roma"
"5472","AUS","Silver",1996,"Cycling","Cycling Women's Sprint","Atlanta"
"5473","AUS","Silver",2000,"Cycling","Cycling Women's 500 metres Time Trial","Sydney"
"5474","GBR","Silver",1932,"Athletics","Athletics Men's Marathon","Los Angeles"
"5475","USA","Gold",1964,"Rowing","Rowing Men's Coxed Pairs","Tokyo"
"5476","AUT","Silver",1980,"Sailing","Sailing Mixed Two Person Keelboat","Moskva"
"5477","URS","Gold",1980,"Swimming","Swimming Men's 200 metres Butterfly","Moskva"
"5478","URS","Silver",1980,"Swimming","Swimming Men's 400 metres Individual Medley","Moskva"
"5479","RUS","Bronze",2012,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","London"
"5480","GER","Silver",1992,"Table Tennis","Table Tennis Men's Doubles","Barcelona"
"5481","USA","Bronze",1904,"Athletics","Athletics Men's Shot Put","St. Louis"
"5482","ITA","Silver",2016,"Fencing","Fencing Women's epee, Individual","Rio de Janeiro"
"5483","ROU","Bronze",1952,"Boxing","Boxing Men's Lightweight","Helsinki"
"5484","TCH","Bronze",1976,"Athletics","Athletics Women's Shot Put","Montreal"
"5485","ITA","Silver",2016,"Fencing","Fencing Men's epee, Team","Rio de Janeiro"
"5486","FRG","Gold",1988,"Fencing","Fencing Women's Foil, Individual","Seoul"
"5487","SWE","Silver",1912,"Tennis","Tennis Mixed Doubles","Stockholm"
"5488","SWE","Bronze",1912,"Tennis","Tennis Mixed Doubles, Covered Courts","Stockholm"
"5489","GDR","Bronze",1988,"Athletics","Athletics Women's 400 metres Hurdles","Seoul"
"5490","GER","Gold",1992,"Cycling","Cycling Men's Sprint","Barcelona"
"5491","GER","Gold",1996,"Cycling","Cycling Men's Sprint","Atlanta"
"5492","GER","Bronze",2000,"Cycling","Cycling Men's Sprint","Sydney"
"5493","GER","Bronze",2000,"Cycling","Cycling Men's Keirin","Sydney"
"5494","GER","Gold",2004,"Cycling","Cycling Men's Team Sprint","Athina"
"5495","GER","Bronze",2004,"Fencing","Fencing Men's epee, Team","Athina"
"5496","FRA","Silver",1920,"Equestrianism","Equestrianism Men's Vaulting, Individual","Antwerpen"
"5497","GBR","Gold",1908,"Motorboating","Motorboating Mixed B-Class (Under 60 Feet)","London"
"5498","GBR","Gold",1908,"Motorboating","Motorboating Mixed C-Class","London"
"5499","USA","Gold",2016,"Cycling","Cycling Men's BMX","Rio de Janeiro"
"5500","USA","Gold",1924,"Boxing","Boxing Men's Featherweight","Paris"
"5501","USA","Gold",1956,"Rowing","Rowing Men's Coxless Pairs","Melbourne"
"5502","CUB","Bronze",1976,"Volleyball","Volleyball Men's Volleyball","Montreal"
"5503","COL","Silver",2012,"Weightlifting","Weightlifting Men's Featherweight","London"
"5504","COL","Gold",2016,"Weightlifting","Weightlifting Men's Featherweight","Rio de Janeiro"
"5505","CUB","Silver",1964,"Athletics","Athletics Men's 100 metres","Tokyo"
"5506","CUB","Silver",1968,"Athletics","Athletics Men's 4 x 100 metres Relay","Mexico City"
"5507","FRA","Bronze",2004,"Swimming","Swimming Women's 200 metres Freestyle","Athina"
"5508","TCH","Gold",1956,"Athletics","Athletics Women's Discus Throw","Melbourne"
"5509","URS","Gold",1960,"Equestrianism","Equestrianism Mixed Dressage, Individual","Roma"
"5510","URS","Bronze",1964,"Equestrianism","Equestrianism Mixed Dressage, Individual","Tokyo"
"5511","URS","Bronze",1964,"Equestrianism","Equestrianism Mixed Dressage, Team","Tokyo"
"5512","URS","Gold",1976,"Gymnastics","Gymnastics Women's Team All-Around","Montreal"
"5513","URS","Bronze",1980,"Gymnastics","Gymnastics Women's Uneven Bars","Moskva"
"5514","KAZ","Silver",2004,"Weightlifting","Weightlifting Men's Middleweight","Athina"
"5515","BUL","Silver",1980,"Rowing","Rowing Women's Coxed Fours","Moskva"
"5516","ITA","Silver",2008,"Swimming","Swimming Women's 800 metres Freestyle","Beijing"
"5517","RUS","Gold",2000,"Handball","Handball Men's Handball","Sydney"
"5518","BEL","Bronze",1920,"Equestrianism","Equestrianism Men's Vaulting, Individual","Antwerpen"
"5519","GDR","Gold",1980,"Boxing","Boxing Men's Featherweight","Moskva"
"5520","GBR","Bronze",1932,"Athletics","Athletics Men's 110 metres Hurdles","Los Angeles"
"5521","GBR","Silver",1936,"Athletics","Athletics Men's 110 metres Hurdles","Berlin"
"5522","GBR","Gold",1968,"Boxing","Boxing Men's Middleweight","Mexico City"
"5523","USA","Gold",1904,"Boxing","Boxing Men's Flyweight","St. Louis"
"5524","USA","Silver",1904,"Boxing","Boxing Men's Bantamweight","St. Louis"
"5525","USA","Silver",1964,"Swimming","Swimming Women's 400 metres Individual Medley","Tokyo"
"5526","VEN","Bronze",2016,"Boxing","Boxing Men's Flyweight","Rio de Janeiro"
"5527","ITA","Gold",2000,"Swimming","Swimming Men's 100 metres Breaststroke","Sydney"
"5528","ITA","Gold",2000,"Swimming","Swimming Men's 200 metres Breaststroke","Sydney"
"5529","RUS","Silver",2008,"Athletics","Athletics Women's 4 x 400 metres Relay","Beijing"
"5530","GER","Gold",2008,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","Beijing"
"5531","SUI","Silver",1960,"Equestrianism","Equestrianism Mixed Dressage, Individual","Roma"
"5532","GER","Bronze",2008,"Diving","Diving Women's Synchronized Springboard","Beijing"
"5533","SUI","Gold",2004,"Fencing","Fencing Men's epee, Individual","Athina"
"5534","GDR","Gold",1980,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Moskva"
"5535","GDR","Silver",1988,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Seoul"
"5536","GDR","Gold",1988,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Seoul"
"5537","GDR","Gold",1988,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","Seoul"
"5538","GER","Gold",1992,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Barcelona"
"5539","GER","Silver",1996,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Atlanta"
"5540","GER","Gold",1996,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","Atlanta"
"5541","GER","Gold",2000,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Sydney"
"5542","GER","Gold",2000,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","Sydney"
"5543","GER","Silver",2004,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Athina"
"5544","GER","Gold",2004,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","Athina"
"5545","CAN","Bronze",1972,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Munich"
"5546","USA","Silver",2004,"Tennis","Tennis Men's Singles","Athina"
"5547","USA","Gold",1920,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Antwerpen"
"5548","USA","Gold",1920,"Shooting","Shooting Men's Military Rifle, Prone, 300 metres, Team","Antwerpen"
"5549","USA","Gold",1924,"Shooting","Shooting Men's Free Rifle, Prone, 600 metres","Paris"
"5550","CAN","Bronze",1984,"Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Los Angeles"
"5551","CAN","Gold",1984,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Los Angeles"
"5552","GBR","Bronze",1960,"Boxing","Boxing Men's Light-Middleweight","Roma"
"5553","FRA","Bronze",1900,"Archery","Archery Men's Au Cordon Dore, 50 metres","Paris"
"5554","USA","Silver",1924,"Athletics","Athletics Men's 400 metres","Paris"
"5555","USA","Gold",1984,"Athletics","Athletics Women's 100 metres Hurdles","Los Angeles"
"5556","GER","Gold",1996,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Atlanta"
"5557","CAN","Silver",1932,"Athletics","Athletics Women's 4 x 100 metres Relay","Los Angeles"
"5558","NOR","Bronze",2004,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Athina"
"5559","USA","Gold",1988,"Tennis","Tennis Men's Doubles","Seoul"
"5560","GDR","Gold",1988,"Sailing","Sailing Mixed Three Person Keelboat","Seoul"
"5561","GER","Gold",1996,"Sailing","Sailing Mixed Three Person Keelboat","Atlanta"
"5562","AUS","Bronze",1896,"Tennis","Tennis Men's Doubles","Athina"
"5563","AUS","Gold",1896,"Athletics","Athletics Men's 800 metres","Athina"
"5564","AUS","Gold",1896,"Athletics","Athletics Men's 1,500 metres","Athina"
"5565","BEL","Bronze",1920,"Archery","Archery Men's Pole Archery, Large Birds, Individual","Antwerpen"
"5566","FRA","Bronze",1896,"Cycling","Cycling Men's Sprint","Athina"
"5567","FRA","Silver",1896,"Cycling","Cycling Men's 10,000 metres","Athina"
"5568","FRA","Gold",1896,"Cycling","Cycling Men's 100 kilometres","Athina"
"5569","FRA","Bronze",1976,"Fencing","Fencing Men's Foil, Team","Montreal"
"5570","USA","Gold",1900,"Athletics","Athletics Men's Hammer Throw","Paris"
"5571","USA","Silver",1904,"Athletics","Athletics Men's 56-pound Weight Throw","St. Louis"
"5572","USA","Gold",1904,"Athletics","Athletics Men's Hammer Throw","St. Louis"
"5573","USA","Gold",1908,"Athletics","Athletics Men's Hammer Throw","London"
"5574","USA","Gold",1904,"Tug-Of-War","Tug-Of-War Men's Tug-Of-War","St. Louis"
"5575","USA","Silver",1936,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Berlin"
"5576","USA","Silver",2008,"Athletics","Athletics Women's 10,000 metres","Beijing"
"5577","GER","Gold",1896,"Gymnastics","Gymnastics Men's Parallel Bars","Athina"
"5578","GER","Silver",1896,"Gymnastics","Gymnastics Men's Horizontal Bar","Athina"
"5579","GER","Bronze",1932,"Athletics","Athletics Women's Javelin Throw","Los Angeles"
"5580","GER","Gold",1936,"Athletics","Athletics Women's Javelin Throw","Berlin"
"5581","GBR","Gold",1908,"Shooting","Shooting Men's Small-Bore Rifle, Moving Target, 25 yards","London"
"5582","GDR","Bronze",1988,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Seoul"
"5583","AUT","Bronze",1900,"Fencing","Fencing Men's Sabre, Individual","Paris"
"5584","FRA","Gold",1996,"Fencing","Fencing Women's epee, Individual","Atlanta"
"5585","FRA","Bronze",2000,"Fencing","Fencing Women's epee, Individual","Sydney"
"5586","FRA","Silver",2004,"Fencing","Fencing Women's epee, Individual","Athina"
"5587","AUT","Bronze",1928,"Rowing","Rowing Men's Double Sculls","Amsterdam"
"5588","USA","Bronze",1924,"Diving","Diving Women's Springboard","Paris"
"5589","GBR","Bronze",1912,"Swimming","Swimming Women's 100 metres Freestyle","Stockholm"
"5590","GBR","Gold",1912,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Stockholm"
"5591","GBR","Bronze",1948,"Art Competitions","Art Competitions Mixed Sculpturing, Reliefs","London"
"5592","FRA","Gold",1992,"Judo","Judo Women's Half-Middleweight","Barcelona"
"5593","AUS","Gold",1988,"Athletics","Athletics Women's 400 metres Hurdles","Seoul"
"5594","USA","Gold",1984,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Los Angeles"
"5595","GDR","Silver",1972,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Munich"
"5596","GBR","Silver",2004,"Rowing","Rowing Women's Quadruple Sculls","Athina"
"5597","GBR","Silver",2008,"Rowing","Rowing Women's Quadruple Sculls","Beijing"
"5598","USA","Silver",1936,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Berlin"
"5599","ROU","Bronze",2004,"Swimming","Swimming Men's 200 metres Backstroke","Athina"
"5600","GBR","Silver",2008,"Canoeing","Canoeing Men's Canadian Singles, Slalom","Beijing"
"5601","GBR","Silver",2012,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","London"
"5602","GBR","Silver",2016,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Rio de Janeiro"
"5603","FRA","Bronze",2008,"Sailing","Sailing Mixed One Person Dinghy","Beijing"
"5604","BRA","Silver",2012,"Boxing","Boxing Men's Middleweight","London"
"5605","NED","Gold",1988,"Rowing","Rowing Men's Double Sculls","Seoul"
"5606","ISL","Bronze",2000,"Athletics","Athletics Women's Pole Vault","Sydney"
"5607","FRA","Gold",1992,"Archery","Archery Men's Individual","Barcelona"
"5608","USA","Gold",1932,"Boxing","Boxing Men's Welterweight","Los Angeles"
"5609","USA","Silver",1920,"Athletics","Athletics Men's 3,000 metres Steeplechase","Antwerpen"
"5610","SWE","Silver",1912,"Athletics","Athletics Men's 3,000 metres, Team","Stockholm"
"5611","HUN","Silver",2008,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Beijing"
"5612","USA","Silver",2000,"Sailing","Sailing Men's Two Person Dinghy","Sydney"
"5613","DEN","Silver",1960,"Sailing","Sailing Mixed Two Person Heavyweight Dinghy","Roma"
"5614","UZB","Bronze",2008,"Gymnastics","Gymnastics Men's Parallel Bars","Beijing"
"5615","GER","Silver",1932,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Los Angeles"
"5616","HUN","Gold",1908,"Fencing","Fencing Men's Sabre, Team","London"
"5617","HUN","Bronze",1948,"Art Competitions","Art Competitions Mixed Literature, Epic Works","London"
"5618","HUN","Bronze",1952,"Athletics","Athletics Men's Long Jump","Helsinki"
"5619","HUN","Silver",1964,"Weightlifting","Weightlifting Men's Bantamweight","Tokyo"
"5620","HUN","Silver",1968,"Weightlifting","Weightlifting Men's Bantamweight","Mexico City"
"5621","HUN","Gold",1972,"Weightlifting","Weightlifting Men's Bantamweight","Munich"
"5622","DEN","Bronze",2016,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Rio de Janeiro"
"5623","HUN","Gold",1980,"Canoeing","Canoeing Men's Canadian Doubles, 500 metres","Moskva"
"5624","CUB","Gold",1900,"Fencing","Fencing Men's epee, Individual","Paris"
"5625","CUB","Silver",1900,"Fencing","Fencing Men's epee, Masters and Amateurs, Individual","Paris"
"5626","CUB","Gold",1904,"Fencing","Fencing Men's Foil, Individual","St. Louis"
"5627","CUB","Gold",1904,"Fencing","Fencing Men's epee, Individual","St. Louis"
"5628","ITA","Bronze",1948,"Boxing","Boxing Men's Middleweight","London"
"5629","ITA","Bronze",2012,"Cycling","Cycling Men's Mountainbike, Cross-Country","London"
"5630","NED","Silver",2016,"Boxing","Boxing Women's Middleweight","Rio de Janeiro"
"5631","GDR","Gold",1968,"Rowing","Rowing Men's Coxless Fours","Mexico City"
"5632","GDR","Gold",1972,"Rowing","Rowing Men's Coxless Fours","Munich"
"5633","VEN","Bronze",1960,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Roma"
"5634","ITA","Bronze",2012,"Judo","Judo Women's Half-Lightweight","London"
"5635","USA","Silver",1948,"Swimming","Swimming Men's 100 metres Freestyle","London"
"5636","CAN","Bronze",1984,"Rowing","Rowing Men's Quadruple Sculls","Los Angeles"
"5637","AUS","Gold",1980,"Swimming","Swimming Women's 800 metres Freestyle","Moskva"
"5638","AUS","Bronze",1980,"Swimming","Swimming Women's 200 metres Butterfly","Moskva"
"5639","AUS","Bronze",2000,"Shooting","Shooting Women's Air Pistol, 10 metres","Sydney"
"5640","USA","Gold",1968,"Boxing","Boxing Men's Heavyweight","Mexico City"
"5641","GER","Bronze",1992,"Athletics","Athletics Women's Javelin Throw","Barcelona"
"5642","ITA","Gold",1948,"Boxing","Boxing Men's Featherweight","London"
"5643","USA","Bronze",1976,"Swimming","Swimming Men's 200 metres Butterfly","Montreal"
"5644","USA","Bronze",1908,"Athletics","Athletics Men's Marathon","London"
"5645","FIN","Bronze",1908,"Gymnastics","Gymnastics Men's Team All-Around","London"
"5646","GDR","Gold",1988,"Rowing","Rowing Women's Quadruple Sculls","Seoul"
"5647","AUS","Bronze",2012,"Rowing","Rowing Men's Quadruple Sculls","London"
"5648","AUS","Bronze",1992,"Athletics","Athletics Men's High Jump","Barcelona"
"5649","USA","Gold",1968,"Athletics","Athletics Men's High Jump","Mexico City"
"5650","USA","Gold",1920,"Athletics","Athletics Men's Pole Vault","Antwerpen"
"5651","GBR","Bronze",1976,"Athletics","Athletics Men's 10,000 metres","Montreal"
"5652","CAN","Bronze",1948,"Athletics","Athletics Women's 4 x 100 metres Relay","London"
"5653","USA","Silver",1984,"Athletics","Athletics Men's 110 metres Hurdles","Los Angeles"
"5654","AUS","Bronze",1988,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Seoul"
"5655","GBR","Bronze",1996,"Rowing","Rowing Men's Coxless Fours","Atlanta"
"5656","USA","Silver",1992,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Barcelona"
"5657","GRE","Bronze",1906,"Rowing","Rowing Men's 6-Man Naval Rowing Boats","Athina"
"5658","TCH","Silver",1956,"Cycling","Cycling Men's 1,000 metres Time Trial","Melbourne"
"5659","TCH","Silver",1956,"Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Melbourne"
"5660","FRA","Silver",1906,"Shooting","Shooting Men's Free Pistol, 50 metres","Athina"
"5661","FRA","Gold",1906,"Shooting","Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres","Athina"
"5662","NZL","Silver",2004,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Athina"
"5663","BEL","Gold",1900,"Archery","Archery Men's Sur La Perche a La Herse","Paris"
"5664","USA","Silver",2008,"Athletics","Athletics Women's Heptathlon","Beijing"
"5665","FRA","Bronze",1936,"Rowing","Rowing Men's Coxed Pairs","Berlin"
"5666","USA","Bronze",2000,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Sydney"
"5667","GBR","Silver",1924,"Sailing","Sailing Mixed 8 metres","Paris"
"5668","USA","Silver",1904,"Fencing","Fencing Men's Foil, Team","St. Louis"
"5669","USA","Gold",1996,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Atlanta"
"5670","USA","Silver",1964,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Tokyo"
"5671","AUS","Silver",2012,"Canoeing","Canoeing Women's Kayak Singles, Slalom","London"
